Node ID,x,y,disp_x,disp_y,stress_x,stress_y
6821,-3.6,0.19999,0.0028379,0.00020437,0.13785,1.0661
6822,-3.2999,0.19994,0.0027886,0.00021502,0.19737,1.1388
6823,-3.4,0.19998,0.0028037,0.00021149,0.17604,1.114
6824,-3.0999,0.19992,0.0027628,0.00022238,0.24533,1.1915
6825,-3.1999,0.19997,0.0027749,0.00021869,0.22039,1.1645
6826,-2.6998,0.19982,0.0027337,0.00023985,0.36953,1.322
6827,-2.7999,0.19995,0.0027377,0.00023503,0.33414,1.2847
6828,-2.5998,0.19992,0.0027322,0.00024557,0.4084,1.3641
6829,-2.2995,0.1995,0.0027448,0.00026836,0.55073,1.5364
6830,-2.1993,0.19974,0.0027551,0.00028033,0.60727,1.6198
6831,-1.9978,0.19907,0.0027846,0.0003154,0.72934,1.867
6832,-1.7964,0.19746,0.0028152,0.00039022,0.79777,2.345
6833,-1.6149,0.1922,0.0028057,0.00058115,0.46077,3.138
6834,-1.4683,0.32426,0.0024895,0.0013784,0.3017,2.1342
6835,-1.3383,0.45526,0.002243,0.0020552,0.30866,1.3641
6836,-1.4048,0.38935,0.0023628,0.0017274,0.31051,1.7036
6837,-1.2662,0.52077,0.0021289,0.0023715,0.29201,1.1131
6838,-0.9819,0.79524,0.0016662,0.0033976,0.13921,0.59075
6919,-0.77874,0.86004,0.0015542,0.0039216,0.11948,0.31592
6920,-0.84913,0.78949,0.0016775,0.0037303,0.1683,0.37384
6921,-0.91999,0.71908,0.0017993,0.0035236,0.21791,0.43893
6922,-0.99058,0.64891,0.0019199,0.003302,0.26936,0.51289
6923,-1.0618,0.57934,0.0020388,0.0030609,0.32305,0.60193
6924,-1.1324,0.50907,0.0021589,0.0028005,0.38167,0.70928
6925,-1.2034,0.43951,0.0022782,0.0025141,0.44446,0.85099
6926,-1.2737,0.37105,0.0023966,0.0021994,0.51,1.0464
6927,-1.3417,0.30319,0.0025177,0.0018553,0.57693,1.3486
6928,-1.4039,0.2353,0.0026444,0.0014803,0.62773,1.7334
6929,-1.462,0.16199,0.0028023,0.0010594,0.6031,3.0174
6930,-1.5266,0.10599,0.0029512,0.00054929,0.32889,3.8432
6931,-1.6122,0.092336,0.0030024,0.00028243,1.3736,3.6453
6932,-1.7047,0.096169,0.0029701,0.00021583,1.3029,2.6718
6933,-1.8009,0.098374,0.0029228,0.00018651,1.1396,2.2801
6934,-1.8997,0.099243,0.002882,0.00016746,0.99547,2.0079
6935,-1.9998,0.099492,0.0028469,0.00015451,0.86988,1.828
6936,-2.0999,0.099646,0.0028186,0.00014534,0.76569,1.6978
6937,-2.1999,0.099741,0.0027963,0.00013848,0.67795,1.5987
6938,-2.2999,0.099803,0.0027793,0.00013314,0.60333,1.5201
6939,-2.3999,0.099849,0.0027671,0.00012882,0.53906,1.4558
6940,-2.5,0.099887,0.002759,0.00012524,0.48305,1.4019
6941,-2.6,0.099917,0.0027547,0.00012218,0.4338,1.3555
6942,-2.7,0.099938,0.0027537,0.00011951,0.3901,1.3149
6943,-2.9,0.099957,0.0027603,0.00011492,0.31591,1.246
6944,-3.0,0.099963,0.0027673,0.00011289,0.2841,1.2158
6945,-3.1,0.099969,0.0027765,0.00011097,0.25516,1.1877
6946,-3.2,0.099972,0.0027875,0.00010913,0.2287,1.1612
6947,-3.3,0.099975,0.0028004,0.00010735,0.20441,1.1359
6948,-3.4,0.099978,0.0028148,0.00010558,0.18203,1.1114
6949,-3.5,0.099983,0.0028307,0.00010383,0.16134,1.0876
6950,-3.6,0.099988,0.0028478,0.00010207,0.14217,1.064
6951,-3.7,0.099992,0.0028661,0.00010027,0.12437,1.0406
6952,-3.8,0.099994,0.0028853,9.8418e-05,0.10783,1.0171
6953,-3.9,0.099996,0.0029055,9.6503e-05,0.092465,0.9933
6954,-4.0,0.099997,0.0029264,9.4503e-05,0.078204,0.96899
6955,-4.1,0.099997,0.002948,9.2398e-05,0.065006,0.94396
6956,-4.2,0.099998,0.00297,9.0167e-05,0.052852,0.91801
6957,-4.3,0.099998,0.0029924,8.7786e-05,0.041748,0.89087
6958,-4.4,0.099999,0.0030151,8.5227e-05,0.031722,0.8623
6959,-4.5,0.099999,0.0030378,8.246e-05,0.022832,0.83201
6960,-4.6,0.099998,0.0030603,7.9449e-05,0.015164,0.79966
6961,-4.7,0.099996,0.0030826,7.6152e-05,0.0088391,0.76487
6962,-4.8,0.099992,0.0031044,7.252e-05,0.00402,0.72722
6963,-4.9,0.099985,0.0031253,6.8494e-05,0.00091786,0.6862
6964,-4.9,0.19998,0.0031181,0.00013719,0.00090401,0.68918
6965,-4.9,0.29997,0.0031062,0.00020629,0.00086462,0.69408
6966,-4.9,0.39996,0.0030897,0.00027597,0.00081157,0.70082
6967,-4.9,0.49995,0.0030687,0.00034641,0.00074534,0.70928
6968,-4.9,0.59995,0.0030433,0.00041779,0.00066827,0.71932
6969,-4.9,0.69994,0.0030138,0.00049024,0.00058245,0.73079
6970,-4.9,0.79993,0.0029803,0.00056391,0.00049016,0.74351
7069,-4.0,0.2,0.002918,0.00018916,0.076073,0.97059
7074,-3.6996,0.59994,0.0027596,0.0006082,0.085822,1.0603
7077,-2.3996,0.19985,0.0027375,0.00025958,0.49853,1.4688
7088,-3.5,0.19996,0.0028202,0.00020791,0.15626,1.0899
7093,-2.8,0.09995,0.0027557,0.00011711,0.35105,1.2787
7094,-2.8999,0.19988,0.002744,0.00023044,0.30191,1.251
7096,-2.9999,0.19996,0.0027524,0.00022635,0.2724,1.2202
7099,-2.275,0.88662,0.0021628,0.0013142,-0.0084576,1.581
7104,-1.9074,0.85041,0.0019997,0.0015593,-0.096878,1.7311
7108,-1.3988,0.67347,0.0019287,0.0021749,0.038669,1.4507
7114,-2.1855,0.59763,0.0024169,0.00089949,0.18405,1.6812
7127,-2.9978,0.69907,0.0025517,0.00081449,0.13467,1.2645
7132,-2.0258,0.86239,0.0020565,0.0014595,-0.066971,1.6954
7134,-1.6995,0.19436,0.0028202,0.00046207,0.7079,2.7487
7136,-2.0784,0.59663,0.0023809,0.00095871,0.15564,1.7699
7139,-1.786,0.38658,0.0025409,0.00080815,0.27882,2.2399
7143,-4.6,0.39997,0.0030234,0.0003192,0.01327,0.80957
