Node Number	Directional Deformation (m)
5488	3.3459e-004
5489	9.718e-004
5490	2.0032e-003
5491	5.2209e-004
5492	2.606e-004
5493	2.3217e-003
5494	6.0554e-004
5495	1.552e-003
5496	2.0295e-003
5497	6.9816e-004
5498	1.0865e-003
5499	8.0065e-004
5500	1.3173e-003
5501	3.1579e-004
5502	3.7552e-004
5503	4.392e-004
5504	5.0559e-004
5505	5.7386e-004
5506	5.3944e-004
5507	6.4326e-004
5508	7.131e-004
5509	7.8282e-004
5510	7.4798e-004
5511	8.5194e-004
5512	9.2012e-004
5513	1.8608e-003
5514	1.9315e-003
5515	1.13e-003
5516	1.2485e-003
5517	1.3687e-003
5518	1.3084e-003
5519	1.491e-003
5520	1.4296e-003
5521	1.6158e-003
5522	1.5531e-003
5523	1.7431e-003
5524	1.6792e-003
5525	1.8722e-003
5526	1.8074e-003
5527	2.0026e-003
5528	1.9373e-003
5529	2.0678e-003
5530	2.2595e-003
5531	2.1968e-003
5532	2.2464e-003
5533	2.2844e-003
5534	2.1647e-003
5535	2.0761e-003
5536	2.1216e-003
5537	4.3081e-004
5538	4.7568e-004
5539	2.5777e-004
5540	2.7949e-004
5541	3.0116e-004
5542	3.2298e-004
5543	3.4434e-004
5544	3.6584e-004
5545	3.8801e-004
5546	2.3489e-004
5547	5.5422e-004
5548	1.9813e-003
5549	6.424e-004
5550	1.4974e-003
5551	1.3786e-003
5552	8.5026e-004
5553	1.261e-003
5554	2.3538e-004
5555	2.8661e-004
5556	3.4254e-004
5557	4.021e-004
5558	4.6456e-004
5559	5.9522e-004
5560	5.6199e-004
5561	6.6207e-004
5562	7.2917e-004
5563	6.9559e-004
5564	7.9606e-004
5565	8.6238e-004
5566	9.2789e-004
5567	8.9524e-004
5568	1.8102e-003
5569	1.882e-003
5570	1.0467e-003
5571	9.8746e-004
5572	1.1655e-003
5573	1.106e-003
5574	1.2853e-003
5575	1.2253e-003
5576	1.4067e-003
5577	1.3458e-003
5578	1.53e-003
5579	1.4681e-003
5580	1.6555e-003
5581	1.5925e-003
5582	1.7831e-003
5583	1.7191e-003
5584	1.9121e-003
5585	2.0418e-003
5586	1.9769e-003
5587	2.1708e-003
5588	2.1064e-003
5589	2.2966e-003
5590	2.2343e-003
